---,Notes
1,92
2,96
3,99
4,103
5,77
6,93
7,84
8,87
9,73
10,74
11,77
12,80
13,70
14,61
15,65
16,68
17,75
18,79
19,94
20,85
21,80
22,75
23,80
24,87
25,90
26,106
27,97
28,104
29,108
30,111
31,114
